Altium Designer Pick and Place Locations
C:\Users\JakubKajzer\Dropbox\Thesis\Project\pcb\Project Outputs for stabilizer_current_sense\Pick Place\Pick Place for Stabilizer_Piezo_Driver(default).txt

========================================================================================================================
File Design Information:

Date:       22.07.21
Time:       08:15
Revision:   Not in VersionControl
Variant:    default
Units used: mil

Designator Comment                  Layer       Footprint                   Center-X(mil) Center-Y(mil) Rotation Description                                                                         
C11A       5.6pF                    TopLayer    CAPC3216X140N               1100.000      3310.000      90       "Non-polarised capacitor"                                                           
C14A       100nF                    TopLayer    CAPC4720X215N               1341.784      3112.160      180      "Non-polarised capacitor"                                                           
C15A       100nF                    BottomLayer CAPC1005X55N                1180.000      3365.000      270      "Non-polarised capacitor"                                                           
C16A       10uF                     BottomLayer CAPMP3216X180N              1246.052      3424.494      270      "Polarised capacitor"                                                               
C27A       10uF                     BottomLayer CAPMP3216X180N              1741.418      3461.716      270      "Polarised capacitor"                                                               
C28A       10uF                     BottomLayer CAPMP3216X180N              2303.269      3425.362      180      "Polarised capacitor"                                                               
C29A       100nF                    BottomLayer CAPC1608X87N                1815.316      3457.194      90       "Non-polarised capacitor"                                                           
C30A       100nF                    BottomLayer CAPC1608X87N                2173.270      3436.184      90       "Non-polarised capacitor"                                                           
D4A        BAV199                   BottomLayer SOT95P240X110-3N            1620.000      3392.126      0        "Serial Diode"                                                                      
D5A        BAV199                   TopLayer    SOT95P240X110-3N            1580.000      3390.000      0        "Serial Diode"                                                                      
IC3A       ADHV4702-1BCPZ           TopLayer    QFN170P700X700X80-13N-S290  1330.000      3336.142      270      "24V to 220V Precision Operational Amplifier"                                       
IC8A       OPA197ID                 BottomLayer SOIC127P600X175-8N          1990.001      3440.000      180      "Operational Amplifier"                                                             
R4A        10k                      BottomLayer RESC1608X55N                1756.023      3265.000      0        "Resistor - 0.1%"                                                                   
R4B        10k                      BottomLayer RESC1608X55N                2040.090      730.960       180      "Resistor - 0.1%"                                                                   
R5A        10k                      BottomLayer RESC1608X55N                1283.000      3096.521      0        "Resistor - 0.1%"                                                                   
R5B        10k                      BottomLayer RESC1608X55N                2230.000      780.000       180      "Resistor - 0.1%"                                                                   
R7A        10k                      BottomLayer RESC1608X55N                1282.125      3167.555      0        "Resistor - 0.1%"                                                                   
R7B        10k                      BottomLayer RESC1608X55N                2230.000      708.966       180      "Resistor - 0.1%"                                                                   
R10A       33                       TopLayer    RESC2012X60N                1072.834      3163.760      180      "Resistor - 1%"                                                                     
R12A       10k                      BottomLayer RESC1608X55N                1488.559      2710.966      0        "Resistor - 0.1%"                                                                   
R12B       10k                      BottomLayer RESC1608X55N                1474.685      1676.732      0        "Resistor - 0.1%"                                                                   
R19A       100k                     TopLayer    RESC2012X60N                995.000       3450.000      270      "Resistor - 0.1%"                                                                   
R20A       100k                     TopLayer    RESC2012X60N                995.000       3300.000      270      "Resistor - 0.1%"                                                                   
R22A       20k                      BottomLayer RESC1608X55N                1990.000      3640.000      180      "Resistor - 0.1%"                                                                   
R23A       20k                      BottomLayer RESC1608X55N                1896.890      3610.000      90       "Resistor - 0.1%"                                                                   
